id	backend	arm	budget	seed	config	config_sha256	sbatch	sbatch_sha256
actionformer_uniform_k384_s3407	actionformer	uniform	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_uniform_k384_s3407.py	80b9110f47f0bf65b3860b4e3bcf2ec228adbb50b6ecdf506ea5e8a994a4a876	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_uniform_k384_s3407.sbatch	7d41777e2361bad68d26e8294dae37ee3446d0b4ee8dc086151d2e7664b17e69
actionformer_uniform_k384_s5801	actionformer	uniform	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_uniform_k384_s5801.py	bc5f85d795d49aaca3d95588f096f046dc9e3a3b01be2d6b4401d4de9b4ce5cd	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_uniform_k384_s5801.sbatch	3f61ef4471591929af5dcb1308aded0efd104d3e0445163ad9bae81b1633f480
actionformer_uniform_k384_s8123	actionformer	uniform	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_uniform_k384_s8123.py	75000bc0f7d35b22c406925614f4b326b3cf246e0abb5e295ef546020e4cbab2	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_uniform_k384_s8123.sbatch	6fc13ed6794a1c88c42620562f3579ce7c4134304ee98ed6782bdebe654c1ef2
actionformer_uniform_k256_s3407	actionformer	uniform	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_uniform_k256_s3407.py	e48f686985509be619cf165f220bf15236a2165b1e3f9876c9b5d0767ba8276b	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_uniform_k256_s3407.sbatch	e48076fa762072f141048ee38e1ef64adcec6a7c76c918e21a70f12db90818b3
actionformer_uniform_k256_s5801	actionformer	uniform	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_uniform_k256_s5801.py	c277b90ff9c91878f719820a0a2bdb9b7fd02a5a1d260adf4172d7a62f6e9ce4	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_uniform_k256_s5801.sbatch	e9dd339cef611730a07ae9f3df4c7d88580d67a8b1d682a4709fdfa029f51bb9
actionformer_uniform_k256_s8123	actionformer	uniform	256	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_uniform_k256_s8123.py	fc39c0885fec7224591e35633e76d394052a8feb3a565c02da47ea3ea5cafcb6	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_uniform_k256_s8123.sbatch	0aa9efe8b6b1c7236106bb0c2aebe760e3dfb02712b915349295882106ffc296
actionformer_learned_k384_s3407	actionformer	learned	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_learned_k384_s3407.py	11f13f610305c8aa3d31a5197b651f1cf6ffef04d0fdcfbff5ad7aa7f5f212a6	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_learned_k384_s3407.sbatch	f241e7eba7c4d857d6fa4fc095a7ac687af7268c0d823e93a0c21dde08f32491
actionformer_learned_k384_s5801	actionformer	learned	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_learned_k384_s5801.py	1d1a0b72edb087b3e1ef6f2ef1bc46ad7bad19f1fcd1bd45521f9c1cabcd0883	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_learned_k384_s5801.sbatch	047e7fad369640d9206fbc90bdc1f5db483972909468156b24b21812f9642446
actionformer_learned_k384_s8123	actionformer	learned	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_learned_k384_s8123.py	35dc7946e0deb10dcc1ffac97c263801cc3f3433fa0deff619904d8e918dee70	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_learned_k384_s8123.sbatch	d36b5889fee3ed482de9841f6d94b783a240c4789e0510a6625cdff9c861c7bf
actionformer_learned_k256_s3407	actionformer	learned	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_learned_k256_s3407.py	337b5d1571daa6b44e6e74c605017e2b117bcdf1887007bf9235ac0ff99b706a	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_learned_k256_s3407.sbatch	c4e898c1e66ee9883544f59952b8e12fcaa41cd178b0dcbaa87480e2d58841e7
actionformer_learned_k256_s5801	actionformer	learned	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_learned_k256_s5801.py	7792a749cc42a8f5cd450c78a668c58b9e2c54d031287d8491ea8bda78ec3f6b	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_learned_k256_s5801.sbatch	9bd43dd660665810760faf3c52c789c7e0084fc8f8ac3077d8fd8b7fd86481b5
actionformer_learned_k256_s8123	actionformer	learned	256	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\actionformer_learned_k256_s8123.py	a4cde67cf871c35be1baf308547943a3acd23f6d6aea951133a053c193ab9a83	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\actionformer_learned_k256_s8123.sbatch	f4ad9cfd72db9b0308224efbb75c059635a199ee5b2f54a13ebf1ce8bbbd7f92
temporalmaxer_uniform_k384_s3407	temporalmaxer	uniform	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_uniform_k384_s3407.py	708a146e5851853bf1dd41a21cce666bebc5c6a148a0386e99c6b8ecd10503b5	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_uniform_k384_s3407.sbatch	a1443e359e554352944a30cf5bd42075c49c12e23a36f05447bf1d431be97c4b
temporalmaxer_uniform_k384_s5801	temporalmaxer	uniform	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_uniform_k384_s5801.py	307a24bb5453632c768009aa2dececb97c1990c0e19b04337f99e3dd496d8f75	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_uniform_k384_s5801.sbatch	df356b3807f3b318194565645a43518d08ad356b8dbd9976cc486fa97fbe36fd
temporalmaxer_uniform_k384_s8123	temporalmaxer	uniform	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_uniform_k384_s8123.py	d008fe508356c09eba6b4da9d568f2f2732fc93f16f9194adf11fc94af6ffabf	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_uniform_k384_s8123.sbatch	1f4adc128f0c96aa633c74b25ae5e87eb089318a40760f0203a83e8929ee39d3
temporalmaxer_uniform_k256_s3407	temporalmaxer	uniform	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_uniform_k256_s3407.py	73c307ad98b3d16aa79230660f57139c792a8611b4b36a3b41283f8b95a5612b	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_uniform_k256_s3407.sbatch	0a791134a1ab118e6b1fde26e180230fbd214fd4000fd47de5da00a2123d9050
temporalmaxer_uniform_k256_s5801	temporalmaxer	uniform	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_uniform_k256_s5801.py	dbde92fefbab9a69eeef9a7714999ca6b62a49110ebd842174f9a6f2900bab4a	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_uniform_k256_s5801.sbatch	7f68aa5dce69f3c3a3ec2c9020defd58ce807e6d3dd8e8791acca2bbb4134180
temporalmaxer_uniform_k256_s8123	temporalmaxer	uniform	256	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_uniform_k256_s8123.py	2cbe814d5bf8b5330cf5205bc9f554e59590fc411c63c93eee271df85cc9fa82	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_uniform_k256_s8123.sbatch	a75c16560d5a57a465ba6c63501d6ac84fa3c56908204b521393b3f36f634bc5
temporalmaxer_learned_k384_s3407	temporalmaxer	learned	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_learned_k384_s3407.py	212648ec456c0ecad90faffa6deaea8ccf79980bbe7161093eab74d1612a9dcb	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_learned_k384_s3407.sbatch	4916546e6120f146835bce87e8b44ddf0c99f45bebf43875c20ed80ea86dc4e1
temporalmaxer_learned_k384_s5801	temporalmaxer	learned	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_learned_k384_s5801.py	1fd516c2cc411c83157686eda0eed6c8630b9c832d289e3c92ff7e363214ff0e	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_learned_k384_s5801.sbatch	749ded35bfd0de561e1538e3cb746e92cdc8e397df67e02da5f2857de3a8da73
temporalmaxer_learned_k384_s8123	temporalmaxer	learned	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_learned_k384_s8123.py	16924a672f771a8c137a0442697b33e2919ae2d16f18cdaa85e20453065ce9db	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_learned_k384_s8123.sbatch	61316ec400e2f75f3a7e12c244332449d907c9b32035f55b12b8c65a18a2daab
temporalmaxer_learned_k256_s3407	temporalmaxer	learned	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_learned_k256_s3407.py	26478165fd69687448d44ceb5ded42f5eec73ef6061a6749b61e3e39ef8aee1d	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_learned_k256_s3407.sbatch	449cecd11c7329c09c6b6dadc723e1a50bc732437719d701541a2043d8062219
temporalmaxer_learned_k256_s5801	temporalmaxer	learned	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\configs\temporalmaxer_learned_k256_s5801.py	ef66ba37799f3aca82730490d14fa2b5fb91d73266df0cb8bc88be61fc265216	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_contract_check\jobs\temporalmaxer_learned_k256_s5801.sbatch	e28d3936e77967ce06883934beeaaedf6405921b83495006275c55cab2b63583
