id	backend	arm	budget	seed	config	sbatch
actionformer_uniform_k384_s3407	actionformer	uniform	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_uniform_k384_s3407.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_uniform_k384_s3407.sbatch
actionformer_uniform_k384_s5801	actionformer	uniform	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_uniform_k384_s5801.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_uniform_k384_s5801.sbatch
actionformer_uniform_k384_s8123	actionformer	uniform	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_uniform_k384_s8123.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_uniform_k384_s8123.sbatch
actionformer_uniform_k256_s3407	actionformer	uniform	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_uniform_k256_s3407.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_uniform_k256_s3407.sbatch
actionformer_uniform_k256_s5801	actionformer	uniform	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_uniform_k256_s5801.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_uniform_k256_s5801.sbatch
actionformer_uniform_k256_s8123	actionformer	uniform	256	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_uniform_k256_s8123.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_uniform_k256_s8123.sbatch
actionformer_learned_k384_s3407	actionformer	learned	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_learned_k384_s3407.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_learned_k384_s3407.sbatch
actionformer_learned_k384_s5801	actionformer	learned	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_learned_k384_s5801.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_learned_k384_s5801.sbatch
actionformer_learned_k384_s8123	actionformer	learned	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_learned_k384_s8123.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_learned_k384_s8123.sbatch
actionformer_learned_k256_s3407	actionformer	learned	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_learned_k256_s3407.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_learned_k256_s3407.sbatch
actionformer_learned_k256_s5801	actionformer	learned	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_learned_k256_s5801.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_learned_k256_s5801.sbatch
actionformer_learned_k256_s8123	actionformer	learned	256	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\actionformer_learned_k256_s8123.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\actionformer_learned_k256_s8123.sbatch
temporalmaxer_uniform_k384_s3407	temporalmaxer	uniform	384	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\temporalmaxer_uniform_k384_s3407.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\temporalmaxer_uniform_k384_s3407.sbatch
temporalmaxer_uniform_k384_s5801	temporalmaxer	uniform	384	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\temporalmaxer_uniform_k384_s5801.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\temporalmaxer_uniform_k384_s5801.sbatch
temporalmaxer_uniform_k384_s8123	temporalmaxer	uniform	384	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\temporalmaxer_uniform_k384_s8123.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\temporalmaxer_uniform_k384_s8123.sbatch
temporalmaxer_uniform_k256_s3407	temporalmaxer	uniform	256	3407	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\temporalmaxer_uniform_k256_s3407.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\temporalmaxer_uniform_k256_s3407.sbatch
temporalmaxer_uniform_k256_s5801	temporalmaxer	uniform	256	5801	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\temporalmaxer_uniform_k256_s5801.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\temporalmaxer_uniform_k256_s5801.sbatch
temporalmaxer_uniform_k256_s8123	temporalmaxer	uniform	256	8123	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\configs\temporalmaxer_uniform_k256_s8123.py	E:\DeskTop\TAD\OpenTAD_C3_CoarseClean_20260702\.codex_tmp\r5_gen_check_20260722_1355\jobs\temporalmaxer_uniform_k256_s8123.sbatch
