experiment_id,category,phase,ct,mod,taylor,curriculum,frames,seed,config,variant,train_command,eval_command,train_job_id,eval_job_id,status
REF-D768,reference,OFF,OFF,OFF,OFF,OFF,768,3407,configs/adatad/thumos/h65_pro/h65_pro_ref_d768.py,none,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_ref_d768.py 3407 REF-D768 none,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_ref_d768.py 3407 REF-D768 none,,,FROZEN
REF-U384,reference,OFF,OFF,OFF,OFF,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_ref_u384.py,h65_pro_ref_u384,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_ref_u384.py 3407 REF-U384 h65_pro_ref_u384,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_ref_u384.py 3407 REF-U384 h65_pro_ref_u384,,,FROZEN
REF-MOTION384,reference,OFF,OFF,OFF,OFF,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_ref_motion384.py,h65_pro_ref_motion384,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_ref_motion384.py 3407 REF-MOTION384 h65_pro_ref_motion384,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_ref_motion384.py 3407 REF-MOTION384 h65_pro_ref_motion384,,,FROZEN
F01,resolution_v,OFF,OFF,OFF,OFF,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f01.py,h65_pro_f01,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f01.py 3407 F01 h65_pro_f01,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f01.py 3407 F01 h65_pro_f01,,,FROZEN
F02,resolution_v,OFF,OFF,OFF,ON,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f02.py,h65_pro_f02,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f02.py 3407 F02 h65_pro_f02,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f02.py 3407 F02 h65_pro_f02,,,FROZEN
F03,resolution_v,OFF,OFF,ON,OFF,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f03.py,h65_pro_f03,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f03.py 3407 F03 h65_pro_f03,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f03.py 3407 F03 h65_pro_f03,,,FROZEN
F04,resolution_v,OFF,OFF,ON,ON,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f04.py,h65_pro_f04,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f04.py 3407 F04 h65_pro_f04,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f04.py 3407 F04 h65_pro_f04,,,FROZEN
F05,resolution_v,OFF,ON,OFF,OFF,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f05.py,h65_pro_f05,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f05.py 3407 F05 h65_pro_f05,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f05.py 3407 F05 h65_pro_f05,,,FROZEN
F06,resolution_v,OFF,ON,OFF,ON,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f06.py,h65_pro_f06,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f06.py 3407 F06 h65_pro_f06,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f06.py 3407 F06 h65_pro_f06,,,FROZEN
F07,resolution_v,OFF,ON,ON,OFF,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f07.py,h65_pro_f07,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f07.py 3407 F07 h65_pro_f07,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f07.py 3407 F07 h65_pro_f07,,,FROZEN
F08,resolution_v,OFF,ON,ON,ON,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f08.py,h65_pro_f08,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f08.py 3407 F08 h65_pro_f08,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f08.py 3407 F08 h65_pro_f08,,,FROZEN
F09,resolution_v,ON,OFF,OFF,OFF,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f09.py,h65_pro_f09,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f09.py 3407 F09 h65_pro_f09,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f09.py 3407 F09 h65_pro_f09,,,FROZEN
F10,resolution_v,ON,OFF,OFF,ON,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f10.py,h65_pro_f10,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f10.py 3407 F10 h65_pro_f10,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f10.py 3407 F10 h65_pro_f10,,,FROZEN
F11,resolution_v,ON,OFF,ON,OFF,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f11.py,h65_pro_f11,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f11.py 3407 F11 h65_pro_f11,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f11.py 3407 F11 h65_pro_f11,,,FROZEN
F12,resolution_v,ON,OFF,ON,ON,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f12.py,h65_pro_f12,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f12.py 3407 F12 h65_pro_f12,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f12.py 3407 F12 h65_pro_f12,,,FROZEN
F13,resolution_v,ON,ON,OFF,OFF,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f13.py,h65_pro_f13,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f13.py 3407 F13 h65_pro_f13,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f13.py 3407 F13 h65_pro_f13,,,FROZEN
F14,resolution_v,ON,ON,OFF,ON,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f14.py,h65_pro_f14,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f14.py 3407 F14 h65_pro_f14,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f14.py 3407 F14 h65_pro_f14,,,FROZEN
F15,resolution_v,ON,ON,ON,OFF,OFF,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f15.py,h65_pro_f15,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f15.py 3407 F15 h65_pro_f15,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f15.py 3407 F15 h65_pro_f15,,,FROZEN
F16,resolution_v,ON,ON,ON,ON,ON,384,3407,configs/adatad/thumos/h65_pro/h65_pro_f16.py,h65_pro_f16,sbatch --parsable tools/experiments/run_h65_pro_train.sbatch configs/adatad/thumos/h65_pro/h65_pro_f16.py 3407 F16 h65_pro_f16,sbatch --parsable --dependency=afterok:${TRAIN_JOB_ID} tools/experiments/run_h65_pro_eval.sbatch configs/adatad/thumos/h65_pro/h65_pro_f16.py 3407 F16 h65_pro_f16,,,FROZEN
