experiment_id,seed,status,mAP@0.3,mAP@0.4,mAP@0.5,mAP@0.6,mAP@0.7,Avg-mAP,checkpoint_path,evaluation_json
REF-D768,3407,PENDING,,,,,,,,
REF-U384,3407,PENDING,,,,,,,,
REF-MNV3FC384,3407,PENDING,,,,,,,,
F01,3407,PENDING,,,,,,,,
F02,3407,PENDING,,,,,,,,
F03,3407,PENDING,,,,,,,,
F04,3407,PENDING,,,,,,,,
F05,3407,PENDING,,,,,,,,
F06,3407,PENDING,,,,,,,,
F07,3407,PENDING,,,,,,,,
F08,3407,PENDING,,,,,,,,
F09,3407,PENDING,,,,,,,,
F10,3407,PENDING,,,,,,,,
F11,3407,PENDING,,,,,,,,
F12,3407,PENDING,,,,,,,,
F13,3407,PENDING,,,,,,,,
F14,3407,PENDING,,,,,,,,
F15,3407,PENDING,,,,,,,,
F16,3407,PENDING,,,,,,,,
C0-S5417,5417,PENDING,,,,,,,,
C0-S9173,9173,PENDING,,,,,,,,
C1-S3407,3407,PENDING,,,,,,,,
C1-S5417,5417,PENDING,,,,,,,,
C1-S9173,9173,PENDING,,,,,,,,
C2-S5417,5417,PENDING,,,,,,,,
C2-S9173,9173,PENDING,,,,,,,,
C3-S5417,5417,PENDING,,,,,,,,
C3-S9173,9173,PENDING,,,,,,,,
