job_id,old_job_id,kind,training_id,label,route,dataset,seed,source_commit,static_status,execution_status,blocking_reasons,cluster,train_slurm_id,completed_train_epochs,production_gpu_precheck,artifact_contract,observed_at_utc,observation_error,model
tr-e2084b928c6c,tr-bacdbb058eca,train,tr-e2084b928c6c,geosparse_dense_control,DENSE,thumos14,0,b70ae056c495b43ca3f305fe438926b97b2723b5,ACCEPTED_NOT_COMPLETION,RUNNING,,A100,245162,0,PASS,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:47.527536+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""DENSE"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-43c3f27668cf,tr-32b5f5690706,train,tr-43c3f27668cf,geosparse_dense_control,DENSE,activitynet13,0,b70ae056c495b43ca3f305fe438926b97b2723b5,BLOCKED,BLOCKED_IMPLEMENTATION,activitynet13 dataset protocol adapter is not implemented,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""DENSE"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-0cd5cff49615,tr-d790cedc3c3d,train,tr-0cd5cff49615,A_full,A,thumos14,0,b70ae056c495b43ca3f305fe438926b97b2723b5,ACCEPTED_NOT_COMPLETION,DEFERRED_PRIORITY,,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""A"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-ce47b8683a49,tr-0f38bed9ed41,train,tr-ce47b8683a49,A_full,A,activitynet13,0,b70ae056c495b43ca3f305fe438926b97b2723b5,BLOCKED,BLOCKED_IMPLEMENTATION,activitynet13 dataset protocol adapter is not implemented,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""A"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-ee184df8b88b,tr-c2d93c4c3979,train,tr-ee184df8b88b,B_full,B,thumos14,0,b70ae056c495b43ca3f305fe438926b97b2723b5,ACCEPTED_NOT_COMPLETION,RUNNING,,A100,245160,1,PASS,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:47.527536+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""B"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-57d13984a538,tr-2c0b3c52e714,train,tr-57d13984a538,B_full,B,activitynet13,0,b70ae056c495b43ca3f305fe438926b97b2723b5,BLOCKED,BLOCKED_IMPLEMENTATION,activitynet13 dataset protocol adapter is not implemented,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""B"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-2f6c9789f026,tr-fb2b9b2359f8,train,tr-2f6c9789f026,C_all_fine,C,thumos14,0,b70ae056c495b43ca3f305fe438926b97b2723b5,ACCEPTED_NOT_COMPLETION,DEFERRED_PRIORITY,,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""C"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-9fcc31133cab,tr-672e335d258c,train,tr-9fcc31133cab,C_all_fine,C,activitynet13,0,b70ae056c495b43ca3f305fe438926b97b2723b5,BLOCKED,BLOCKED_IMPLEMENTATION,activitynet13 dataset protocol adapter is not implemented,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 1.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""C"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-11bd86a4f1ac,tr-43c9bfd942ed,train,tr-11bd86a4f1ac,cheap_only,COARSE,thumos14,0,b70ae056c495b43ca3f305fe438926b97b2723b5,ACCEPTED_NOT_COMPLETION,DEFERRED_PRIORITY,,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 0.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""COARSE"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
tr-6caa4dce1f4a,tr-16ea9a7df1cc,train,tr-6caa4dce1f4a,cheap_only,COARSE,activitynet13,0,b70ae056c495b43ca3f305fe438926b97b2723b5,BLOCKED,BLOCKED_IMPLEMENTATION,activitynet13 dataset protocol adapter is not implemented,,,0,NOT_RUN,"{""checkpoint_indexing"": ""zero_based"", ""diagnostic_completed_epochs"": [5, 20, 40, 60], ""saved_completed_epochs"": [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], ""version"": ""audit-repair-20260908""}",2026-09-08T09:33:48.114005+00:00,,"{""actionness_aux"": false, ""allow_global_zero"": true, ""axis"": ""ST"", ""backbone"": ""videomae_b"", ""budget"": 0.0, ""budget_mode"": ""fixed"", ""coarse_variant"": ""mean_shared"", ""cost_target"": ""traced_macs"", ""detail_probe_fraction"": 0.0, ""estimator"": ""none"", ""evidence_slots"": 4, ""exploration"": ""default"", ""fusion_variant"": ""residual"", ""geometry"": ""native_support"", ""head"": ""actionformer"", ""heavy_context"": ""parent16"", ""probe_every"": 0, ""query_length"": 768, ""quota"": ""global_zero_allowed"", ""receiver"": ""support_attention"", ""receiver_layers"": 2, ""roi_mode"": ""none"", ""rounds"": 1, ""route"": ""COARSE"", ""route_refresh"": ""once"", ""scout_resolution"": 112, ""scout_temporal_stride"": 1, ""scout_width"": 128, ""selector"": ""none"", ""source_resolution"": 160, ""spatial_group"": 2, ""temporal_atom_tubelets"": 1, ""tia_scope"": ""source_native"", ""warmup_epochs"": 6}"
