index	task_id	phase	arm_id	seed	panel	prior	allocation	quota	curvature	physical_time	attribution	mod	schedule	role	config_path	work_dir	primary_candidate	confirmation
0	development_u0_seed3407	development	U0	3407	anchors	none	exact_uniform	none	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_u0_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_u0_seed3407	False	False
1	development_h0_seed3407	development	H0	3407	anchors	semantic	h65_original_retention_transition	h65_original	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_h0_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_h0_seed3407	False	False
2	development_a00_seed3407	development	A00	3407	prior_x_allocation	motion	legacy_dual_phase	legacy	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_a00_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_a00_seed3407	False	False
3	development_a10_seed3407	development	A10	3407	prior_x_allocation	semantic	legacy_dual_phase	legacy	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_a10_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_a10_seed3407	False	False
4	development_a01_seed3407	development	A01	3407	prior_x_allocation	motion	robust_phase	adaptive	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_a01_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_a01_seed3407	False	False
5	development_a11_seed3407	development	A11	3407	prior_x_allocation	semantic	robust_phase	adaptive	False	False	baseline	False	default_20_20_20	primary_dense_candidate	configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_a11_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_a11_seed3407	True	False
6	development_b00_seed3407	development	B00	3407	curvature_x_quota	semantic	robust_phase	fixed	False	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_b00_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_b00_seed3407	False	False
7	development_b10_seed3407	development	B10	3407	curvature_x_quota	semantic	robust_phase	fixed	True	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_b10_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_b10_seed3407	False	False
8	development_b11_seed3407	development	B11	3407	curvature_x_quota	semantic	robust_phase	adaptive	True	False	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_b11_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_b11_seed3407	False	False
9	development_c01_seed3407	development	C01	3407	phase_x_physical_time	semantic	legacy_dual_phase	legacy	False	True	baseline	False	default_20_20_20		configs/adatad/thumos/duca_unified_fullmatrix/duca_unified_development_c01_seed3407.py	exps/thumos/adatad/duca_unified_fullmatrix/DUCA-UNIFIED-FULLMATRIX-v001-20260902/development_c01_seed3407	False	False
